Name,Material Code,Shipment Arrive Date,Specified Width (in.),Roll Length (yards),Yards in inspection,Location,Order.Shipments,_warehouse,Flag for review,Parent Roll ID,Material Inspections
R33579: X,BCICT,9/29/2021,61.0,53.70,53.7,E-M-1,BCICT (PO-4331),Warehouse,,,BCICT - R33579: X - Resonance Order : BCICT
R29901: X,BCICT,9/29/2021,61.0,127.90,149.5,E-M-1,BCICT (PO-4331),Warehouse,,,BCICT - R29901: X - Resonance Order : BCICT
R29900: X,BCICT,9/29/2021,61.0,63.20,63.2,E-M-1,BCICT (PO-4331),Warehouse,,,BCICT - R29900: X - Resonance Order : BCICT
R29898: X,BCICT,9/29/2021,61.0,164.00,165.6,E-M-1,BCICT (PO-4331),Warehouse,,,BCICT - R29898: X - Resonance Order : BCICT
R29897: X,BCICT,9/29/2021,61.0,164.00,163.8,E-M-1,BCICT (PO-4331),Warehouse,,,BCICT - R29897: X - Resonance Order : BCICT
R29894: X,BCICT,9/29/2021,61.0,125.70,126.7,E-M-1,BCICT (PO-4331),Warehouse,,,BCICT - R29894: X - Resonance Order : BCICT
R29889: X,BCICT,9/29/2021,61.0,167.30,177.0,F-A-2,BCICT (PO-4331),Warehouse,,,BCICT - R29889: X - Resonance Order : BCICT
R29890: X,BCICT,9/29/2021,61.0,164.00,164.4,E-M-1,BCICT (PO-4331),Warehouse,,,BCICT - R29890: X - Resonance Order : BCICT
R29886: X,BCICT,9/29/2021,61.0,164.00,164.8,E-M-1,BCICT (PO-4331),Warehouse,,,BCICT - R29886: X - Resonance Order : BCICT
R29885: X,BCICT,9/29/2021,61.0,63.40,64.9,E-L-1,BCICT (PO-4331),Warehouse,,,BCICT - R29885: X - Resonance Order : BCICT
R29882: X,BCICT,9/29/2021,61.0,71.00,71.0,F-A-2,BCICT (PO-4331),Warehouse,,,BCICT - R29882: X - Resonance Order : BCICT
R29879: X,BCICT,9/29/2021,61.0,139.90,141.0,E-M-1,BCICT (PO-4331),Warehouse,,,BCICT - R29879: X - Resonance Order : BCICT
R29874: X,BCICT,9/29/2021,61.0,185.90,188.5,E-M-1,BCICT (PO-4331),Warehouse,,,BCICT - R29874: X - Resonance Order : BCICT
R29873: X,BCICT,9/29/2021,61.0,158.50,159.1,E-L-1,BCICT (PO-4331),Warehouse,,,BCICT - R29873: X - Resonance Order : BCICT
R29867: X,BCICT,9/29/2021,61.0,174.90,177.2,E-M-1,BCICT (PO-4331),Warehouse,,,BCICT - R29867: X - Resonance Order : BCICT
R29868: X,BCICT,9/29/2021,61.0,159.60,159.0,E-L-1,BCICT (PO-4331),Warehouse,,,BCICT - R29868: X - Resonance Order : BCICT
R29864: X,BCICT,9/29/2021,61.0,158.50,160.0,E-L-1,BCICT (PO-4331),Warehouse,,,BCICT - R29864: X - Resonance Order : BCICT
