Name,Rolls,Current Substation (from Rolls),record_id,Width Average (mm)
CC254 - R49760: X - Resonance Order : CC254,R49760: CC254,Pretreatment,recZz5Z9GV2ulmb3K,1490.0
CC254 - R49807: X - Resonance Order : CC254,R49807: CC254,Material Prep,recuSfgtxz5GuEQeo,1496.7
CC254 - R49908: X - Resonance Order : CC254,R49908: CC254,Material Prep,recjeYqoXJsppOkVk,1490.0
CC254 - R52978: X - Resonance Order : CC254,R52978: CC254,Material Prep,recA058BUrSzfboXz,1486.7
CC254 - R49635: X - Resonance Order : CC254,R49635: CC254,Material Prep,recG6xBKcQMBgMQ10,1540.0
CC270 - R10975: X - Resonance Order : CC270,R10975: CC270,Scour: Dry,recYmjthnFhdV55cb,1566.7
CC270 - R11458: X - Resonance Order : CC270,R11458: CC270,Material Prep,recSys8veCGvYK38n,1590.0
CC270 - R13727: X - Resonance Order : CC270,R13727: CC270,Material Prep,reciQVhA8HnrhlInj,1550.0
CC270 - R11522: X - Resonance Order : CC270,R11522: CC270,Material Prep,recK2vR6Vyy8jT0nK,1590.0
CC270 - R11451: X - Resonance Order : CC270,R11451: CC270,Material Prep,recMBNPdkjVjd7tLQ,1590.0
CC270 - R10966: X - Resonance Order : CC270,R10966: CC270,Material Prep,recB7Y3GHyr6Ycp3I,1590.0
CC270 - R10956: X - Resonance Order : CC270,R10956: CC270,Material Prep,recoV8eIbo0uRAMKu,1596.7
CC270 - R10962: X - Resonance Order : CC270,R10962: CC270,Material Prep,rech22sKft7TVi9sm,1590.0
CC270 - R10974: X - Resonance Order : CC270,R10974: CC270,Material Prep,recSYZzOosSufJ1Qd,1593.3
CC270 - R11438: X - Resonance Order : CC270,R11438: CC270,Material Prep,recxrau71iqWxWgAx,1586.7
CC270 - R11479: X - Resonance Order : CC270,R11479: CC270,Material Prep,rechi2nGRE3ydieJS,1590.0
CC270 - R11001: X - Resonance Order : CC270,R11001: CC270,Material Prep,rec98HclSkRFCCw9v,1580.0
CC270 - R10970: X - Resonance Order : CC270,R10970: CC270,Material Prep,recdpho7dpGzPwkwk,1583.3
