Material,Material Code,Fabric Type,Offset Size (Inches),Printable Width (In),Locked Length Digital Compensation (Scale),Locked Width Digital Compensation (Scale),Locked Length Digital Compensation,Locked Width Digital Compensation,Compensation Updated At,Width at Print Belt (Pre-Treated),Printable Width Formula,Shrinkage Log,Notes (from Shrinkage Log),Width Control Chart (from Shrinkage Log),Width Histogram (from Shrinkage Log),Length Control Chart (from Shrinkage Log),Length Histogram (from Shrinkage Log)
"Stretch Organic Cotton Twill (CT406) 
 ✅",CT406,Woven,,60.0,104.5806%,121.2121%,-4.38%,-17.50%,2/22/2024,62.5,59.5,CT406 Current Compensation-02-22-2024,,,,,
"Silk Crepe de Chine  (CDCBM) 
 ✅",CDCBM,Woven,,55.0,104.4386%,105.5409%,-4.25%,-5.25%,3/31/2025,58.0,55.0,"CDCBM Previous Compensation-07-02-2023,CDCBM Previous Compensation-11-24-2023,CDCBM Current Compensation-03-31-2025",,,,,
"Stretch Organic Classic Cotton Twill (CLTWL) 
 ✅",CLTWL,Woven,,60.0,103.9609%,116.9591%,-3.81%,-14.50%,3/18/2025,66.5,63.5,"CLTWL Previous Compensation-01-01-2023,CLTWL Current Compensation-03-18-2025,CLTWL Previous Compensation-11-14-2023,CLTWL Previous Compensation-08-13-2024,CLTWL Previous Compensation-01-21-2025",,newplot (94).png (https://v5.airtableusercontent.com/v3/u/40/40/1745337600000/2lKlOgK4TTzOHxEU4tXBnA/YCQGpMAvt0ev_vhHS9MK_0CUkLytywGR5s6wrl_d2nqFyQjn-lZ_kxxX0rQ8B8voQeQAYbgd9nIwdTrlbllIDA18pr48escskc_mU5dhauALpkFU5HYji3ODJqGGrlMJdIW3ZSlPN1Ma6jm5Te1dFcGASBBhd-9ceZECWRD48A0/MdEnQcgWw-5ONMJvTcqZw_ECRaC6zL8Amx6WTaExPSk),newplot (93).png (https://v5.airtableusercontent.com/v3/u/40/40/1745337600000/NuNEwQPNkJOEVocbeJYLHA/L49SwRH7KbSl8WjNdXkrDOL1ULxwFpXsnt_m0JNuYvOzflz9WAM6l3cM5X6-AtGsM4xG8sjvf_WqfDOnanBBWeZToY8527Yu2YYrIsvoEGjp_exBezosxqtbg0WuIcT7bRjfadwQLwOqk7cVrismXHjuO7mdhHLbtA7oHTWn-G0/B_pvcjAMe32U2DGR8-nFOJZiTyyd1axMl2J4F6Il7uw),newplot (96).png (https://v5.airtableusercontent.com/v3/u/40/40/1745337600000/en2kKYk-nvtX_-5X-IppIg/BI4WuPclnNE7MgJYYk1tl-bxPdA1ykjbXloAEZR_in8znGSdHehl4bXz7w0eLkgWvltYbUe3KcYyHp4whhuQJCKgqu_7ml7WIncLMmWgAxKEDaGx06v4W27ODtxnxa9OD_B22DU8HD45Aca1YzWJ67ikNf052DOqUmYWw4ySZNo/ZneoTcRWk6gMl_Ws13v7IfWCFBd9Ya3O216pz1uu4fg),newplot (95).png (https://v5.airtableusercontent.com/v3/u/40/40/1745337600000/5BrOX_-JVICMTceeNLqJcA/GRGweW5b1aotDPu0tn7eAzd5OiblVfmVPlCSv27FAR12URYOsRtZsw5dFvhvEmukY984qW_M0dA-10-tCpDT9DUEUKcCtN76bbWC5vdi5yP0jN8FZnT68_eKnYhJEgQKx5jitHBJyPtbYEqDCDxnWdC8l3JwY1EnOtU1OH7Iek8/yh4Sn9Qp1_aNsbfivvqTdCJ_xZX_DEfIG8LhsMk2nHI)
"Double Georgette (GGT16) 
 ✅",GGT16,Woven,,54.5,103.8961%,100.0000%,-3.75%,0.00%,2/22/2024,57.0,54.0,"GGT16 Current Compensation-11-24-2023,GGT16 Previous Compensation-01-01-2023",,,,,
"Silk Cotton (SLCTN) 
 ✅",SLCTN,Woven,,54.0,103.6269%,102.7221%,-3.50%,-2.65%,3/31/2025,56.5,53.5,"SLCTN Previous Compensation-05-16-2024,SLCTN Current Compensation-03-31-2025,SLCTN Previous Compensation-01-01-2023,SLCTN Previous Compensation-11-30-2023",,,,,
"Ecovero Viscose Crepe  (ECVIC) 
 ✅",ECVIC,Woven,,53.0,103.6269%,109.8298%,-3.50%,-8.95%,3/28/2025,54.5,51.5,"ECVIC Previous Compensation-01-01-2023,ECVIC Previous Compensation-03-19-2025,ECVIC Current Compensation-03-28-2025,ECVIC Previous Compensation-12-04-2023",,newplot (22).png (https://v5.airtableusercontent.com/v3/u/40/40/1745337600000/L84_Ld1vI0IO1-TVjvHTLg/_itb7TsZgr5yrAveHXnYy3b-l3g9ARd3YQBuw-RhFIisSQ9c8ao7R-8LFA9RwZg7K_gtxHOWpOxh-i28u41AWZNwUZJMjEKcBxdFFiOJsUYk7TlXZxZjRQzYPGL4LkQk4PK4FPIUudV_iGxRVJxxZ9BdHxt0dVQ8AKOO4fxQlzc/w0u0zf_giHrCxbaKYyzzq9p8RalvXOoMrdSA6JO9yNs),newplot (21).png (https://v5.airtableusercontent.com/v3/u/40/40/1745337600000/wLbv4Zv4DT7o1YSwZgpM1w/nBI5mny5fbkcSYOlw6QLuqSOl1sebJnP3Oz-skQVE79UZwWruwpaPVQbtBiPh8bA6otoBezfC0VMbAaPfP3IUFB-dTM8tjAfI4FfnTYTABkMBz8VUIYdhXEH8mGeyKTHT2A3DfYao6JTs0vcrsthy8mN4Jb5vpmJWwe61vImBvE/snRJyOypAUhbryvduTYjoOSgXfksK5e0r9sP_MTUbG4),newplot (24).png (https://v5.airtableusercontent.com/v3/u/40/40/1745337600000/EVwDFucacMWJL9hQj6SJtA/EcQLm7OntfzaUjU19eWgII5NVdu2wg1HKJDe0BXwW_y6kyB47HI7Ud2EvldJtH-QcWHQ5yd_tU_GO1RpN7dUQtUGwgRp7htOLknP9z5KKiRkLPXllpOV6wbqksJqv96ykgPIaaMsDdWWSKsQH-4S8BwAiYgwltXoH34QkFcyu7Y/HTOTkG9PZUlLlGEnWmhdX29VyxhqP0KxRxgoqLMXx9k),newplot (23).png (https://v5.airtableusercontent.com/v3/u/40/40/1745337600000/wdh9x59PXyBp1OfG0u9boQ/BH0PxG5nfO14qZYMXEodUYOEt5R4uLwCsX5TiE_DnOPit__SlQysPpLTJrhrtnqT2tW0OcTpYxutcyPqAp-bDG6r-NEV9Ykb5REq8EsGFB5xaWr2DpVvScIsKqieXfTb6UlkMwIwSq5M86EyA_o_5OR4-D1up7c1lFxkr5u-G_w/V53VAvGyWRVTng0x7ncoUc8hkQaAiSUbitQ9VDlzdxw)
"Organic Cotton Canvas Mid-Weight (CC254) 
 ✅",CC254,Woven,,58.5,103.6269%,103.0928%,-3.50%,-3.00%,3/18/2025,61.0,58.0,CC254 Current Compensation-03-18-2025,,,,,
"Organic Cotton Twill Shirting (OC135) 
 ✅",OC135,Woven,,58.0,103.3592%,105.2632%,-3.25%,-5.00%,4/17/2025,60.5,57.5,"OC135 Previous Compensation-02-22-2024,OC135 Previous Compensation-01-01-2023,OC135 Current Compensation-04-17-2025",,newplot (66).png (https://v5.airtableusercontent.com/v3/u/40/40/1745337600000/Ikw7z7-5rEcreINeB3otlQ/QHbcMixtWawq741o1VYK-8QDMcQJ7dBu3DcUSEso7uCeQ6zLeAahl_p1yZIME0kcpD8If1Qn2CXuOUmPWKQP6XWpVzVwW5gCwrO5QNXhMHSjN6anZm7urRHi8wbSBFY_L8AB39nmYTh3QENMcb_K3-DKYs57Xot1CTrU1-84fP0/hSvM4OvsGeIzf0BsxfiTCkz-7CoKGtTrGb6nlT6XwKA),newplot (65).png (https://v5.airtableusercontent.com/v3/u/40/40/1745337600000/ULf-meSj_z329IdgBgDg1w/hsr0fBslzJslyxb7HDD0cCq4f57ItgUh0A709VRzOR51mnMkC2V2gX5OIcL9SP9LN84negCDoNokjHEWmxVevhopK6hf3TCCnBllPrwNsBbaoeJqxkFL6JGoQcJEQ4oErejuZykt0IZztGQtJK7JJSIuKnS_viW8Nkq1W3TcT8w/zZuWVJ7Hz0nejiEUxXoRWy9BKLgtcRnyp4caWmSoj3E),newplot (68).png (https://v5.airtableusercontent.com/v3/u/40/40/1745337600000/PpS2P9eSHEP45fySbm9eBA/ssbojc833qg3WsJzRE75enTwGHDiVBsTdHvwdJvLgfukaCkdvrw3QgU8grKhxiFQwMGbrjT512eOf1oXOOLpJlNG5RLlToUZF5qCAiDDWX7lU4-cx8xfpb3xaiVNF72twxc8ogtEs6LubIWpMbX2-rdKNm6PBIZmInav04oEPJM/sOHbe3KLidv029ZLB5u54XdPnT7r2moUPL9wajS5QD0),newplot (67).png (https://v5.airtableusercontent.com/v3/u/40/40/1745337600000/Ev_TfFXZhBSZRfh1aPVJ0g/MCFv3M2l5wP2rXJHT4siKlKt-HKZg_meYvOGs_PhDD43r5c0wRH1ZLnlGw4uRsvY8w7FSbpmA8e3_opewnRAB0cJNW1rVyoYYcR5tLzIm2uedh1DkmAMy5nArWsGiXH1-9Nd0rGuc7QLesh6kXc4cxv_TbfQviyQZMBgN6I_hQk/TXCaojSA9QkAgyfR96XtgPOaepvjobyRzV6cEUh32Ac)
"Silk Stretch Charmeuse (CHRST) 
 ✅",CHRST,Woven,,55.0,103.3058%,108.9918%,-3.20%,-8.25%,3/31/2025,59.5,56.5,"CHRST Previous Compensation-02-22-2024,CHRST Previous Compensation-01-01-2023,CHRST Current Compensation-03-31-2025",,,,,
"Tencel Dobby (TNCDO) 
 ✅",TNCDO,Woven,,56.0,103.0928%,101.5228%,-3.00%,-1.50%,4/17/2025,58.5,55.5,"TNCDO Previous Compensation-11-30-2023,TNCDO Previous Compensation-01-01-2023,TNCDO Current Compensation-04-17-2025",,newplot (70).png (https://v5.airtableusercontent.com/v3/u/40/40/1745337600000/6x5F1vynJIjB0iKmGU7Btg/mlJgCY68uOO_x3BUIQUxqM4iHF5n8_DKd_5Nh_qhA-qd7cx_EcBvTbb2_k5p63hX3aNKbd93_XbV0qDU6FuahFIlZLe66n8keBCDco58k4EcdrhIkO_a7PtC2b_1qa7QY1Cq5J7Dvkf_dHaoq2PBcCkhXt4c29AIT_QeSAffqXI/aC31nPZKKvDEncdGElDNsU66KKCFs2MGtuQz9FpuqvA),newplot (69).png (https://v5.airtableusercontent.com/v3/u/40/40/1745337600000/y7bkFSwAOCQuWBKyokvdWA/rxnVqwzAR_dDMEASKlw6X0ugag3F_2GegghXc9P5P5o_B_T5I-CotXDbm-Gn9tbdhd60y0_4bwnA_U1jzv1O8yVTr8RJePQ2X4bmIFcLX4TdHbckOCENq0K08OlrUnZAKKehRsaBKfY_dPS7MiLlIvuHfgoZzwmBUT9efBrqfKI/RufVlkW70LWxOgAcgkCWT3Et3ZFp2IojqsikzjzHkQQ),newplot (72).png (https://v5.airtableusercontent.com/v3/u/40/40/1745337600000/Bp-_3pEeuwvvKCltDdr-bg/JFG49tjsx6faLXU_ES_uHt_nHXNysXiiEDV9op5ZHzKjfjf0Mxk6BA1LaAJ3xAImSfg40dzK3GUOc43NfzP0mOYtzEWuV2Q5DRlnrKmv06HucMdtUbwynPntw2LDbtfvTwmEnJoXN-Q-CThQ8yDxbOTadtOL7A-VDp-E0EMUKTQ/lFTjbd5d9HSLSDqTFNz8viVVuQ4TorJt6jLkl_XxKt8),newplot (71).png (https://v5.airtableusercontent.com/v3/u/40/40/1745337600000/60JvOMkpIc0Xsv0jSNq32g/qWH3PeLgsA567QenXnj7n2ecHZ0ibcZrn_i39kRhWMhLKfCz1Opa3hxjMx2EIE1Zkx3N8vzsWlmPTYoCp2_EieYzcCM5BgD650oWBGBnV2Hzs0LAk0BgsSw-MtjOkSqe0ksVrDo2UobLPB-RbC0Js-jXySGGclWUlZnCLujiyJI/RPgew4XMzjhZb5LkjHCyiTqFlYlKxYARkvHsNlbd0vQ)
