roll_name,material_code,mill_lot,shipment_arrive_date,width_avg_mm,sequence_number
R44316: CDCBM,CDCBM,CDCBM (PO-5928),2022-11-08,1400.0,1
R45113: CDCBM,CDCBM,CDCBM (PO-5928),2022-11-08,1400.0,1
R44420: CDCBM,CDCBM,CDCBM (PO-5928),2022-11-08,1396.7,1
R45253: CDCBM,CDCBM,CDCBM (PO-5928),2022-11-08,1396.7,1
R45243: CDCBM,CDCBM,CDCBM (PO-5928),2022-11-08,1396.65,1
R44407: CDCBM,CDCBM,CDCBM (PO-5928),2022-11-08,1393.35,1
R44447: CDCBM,CDCBM,CDCBM (PO-5928),2022-11-08,1390.0,1
R44302: CDCBM,CDCBM,CDCBM (PO-5928),2022-11-08,1388.35,1
R45156: CDCBM,CDCBM,CDCBM (PO-5928),2022-11-08,1386.7,1
R34965: CDCBM,CDCBM,CDCBM (PO-5928),2022-11-08,1370.0,2
R42518: CDCBM,CDCBM,CDCBM (PO-5928),2022-11-08,,3
R43358: CDCBM,CDCBM,CDCBM (PO-5928),2022-11-08,,4
R40283: CDCBM,CDCBM,CDCBM (PO-6186),2023-02-13,1453.3,5
R53088: CDCBM,CDCBM,CDCBM (PO-6186),2023-02-13,1433.3,5
R52230: CDCBM,CDCBM,CDCBM (PO-6186),2023-02-13,1430.0,6
R50138: CDCBM,CDCBM,CDCBM (PO-6186),2023-02-13,1410.0,7
R40282: CDCBM,CDCBM,CDCBM (PO-6186),2023-02-13,1405.0,7
R48982: CDCBM,CDCBM,CDCBM (PO-6186),2023-02-13,1405.0,7
R45821: CDCBM,CDCBM,CDCBM (PO-6186),2023-02-13,1403.3,7
R46499: CDCBM,CDCBM,CDCBM (PO-6186),2023-02-13,1403.3,7
R46610: CDCBM,CDCBM,CDCBM (PO-6186),2023-02-13,1403.3,7
R46673: CDCBM,CDCBM,CDCBM (PO-6186),2023-02-13,1403.3,7
R40279: CDCBM,CDCBM,CDCBM (PO-6186),2023-02-13,1400.0,7
R40288: CDCBM,CDCBM,CDCBM (PO-6186),2023-02-13,1400.0,7
R40307: CDCBM,CDCBM,CDCBM (PO-6186),2023-02-13,1400.0,7
R40318: CDCBM,CDCBM,CDCBM (PO-6186),2023-02-13,1400.0,7
R40327: CDCBM,CDCBM,CDCBM (PO-6186),2023-02-13,1400.0,7
R40329: CDCBM,CDCBM,CDCBM (PO-6186),2023-02-13,1400.0,7
R40341: CDCBM,CDCBM,CDCBM (PO-6186),2023-02-13,1400.0,7
R40343: CDCBM,CDCBM,CDCBM (PO-6186),2023-02-13,1400.0,7
R40347: CDCBM,CDCBM,CDCBM (PO-6186),2023-02-13,1400.0,7
R45191: CDCBM,CDCBM,CDCBM (PO-6186),2023-02-13,1400.0,7
R46039: CDCBM,CDCBM,CDCBM (PO-6186),2023-02-13,1400.0,7
R47307: CDCBM,CDCBM,CDCBM (PO-6186),2023-02-13,1400.0,7
R49234: CDCBM,CDCBM,CDCBM (PO-6186),2023-02-13,1400.0,7
R49352: CDCBM,CDCBM,CDCBM (PO-6186),2023-02-13,1400.0,7
R49616: CDCBM,CDCBM,CDCBM (PO-6186),2023-02-13,1400.0,7
R49701: CDCBM,CDCBM,CDCBM (PO-6186),2023-02-13,1400.0,7
R50284: CDCBM,CDCBM,CDCBM (PO-6186),2023-02-13,1400.0,7
R50337: CDCBM,CDCBM,CDCBM (PO-6186),2023-02-13,1400.0,7
R50519: CDCBM,CDCBM,CDCBM (PO-6186),2023-02-13,1400.0,7
R50751: CDCBM,CDCBM,CDCBM (PO-6186),2023-02-13,1400.0,7
R51227: CDCBM,CDCBM,CDCBM (PO-6186),2023-02-13,1400.0,7
R51814: CDCBM,CDCBM,CDCBM (PO-6186),2023-02-13,1400.0,7
R51904: CDCBM,CDCBM,CDCBM (PO-6186),2023-02-13,1400.0,7
R52040: CDCBM,CDCBM,CDCBM (PO-6186),2023-02-13,1400.0,7
R53023: CDCBM,CDCBM,CDCBM (PO-6186),2023-02-13,1400.0,7
R53123: CDCBM,CDCBM,CDCBM (PO-6186),2023-02-13,1400.0,7
R55383: CDCBM,CDCBM,CDCBM (PO-6186),2023-02-13,1400.0,7
R55468: CDCBM,CDCBM,CDCBM (PO-6186),2023-02-13,1400.0,7
R40294: CDCBM,CDCBM,CDCBM (PO-6186),2023-02-13,1398.35,7
R40320: CDCBM,CDCBM,CDCBM (PO-6186),2023-02-13,1396.7,7
