Name,Roll Length (yards),Current Substation,Incoming Inspection Length,Location V1.1,Warehouse,📏Roll Length Data,Roll Length Measurements,Latest Measurement
R34965: CDCBM,51.30,Pretreatment,35.0,Main Warehouse - A-B-3,Main Warehouse,"CDCBM - R34965: X - PO-4928,CDCBM - R34965: X - PO-4928","34.62,35",35
R40228: CDCBM,47.00,Material Prep,46.6,Main Warehouse - A-B-3,Main Warehouse,CDCBM - R40228: X - PO-5186,46.61,46.61
R40237: CDCBM,49.21,Material Prep,48.2,Main Warehouse - A-B-3,Main Warehouse,CDCBM - R40237: X - PO-5186,48.15,48.15
R40243: CDCBM,51.61,Material Prep,50.5,Main Warehouse - A-B-3,Main Warehouse,CDCBM - R40243: X - PO-5186,50.51,50.51
R40256: CDCBM,48.66,Material Prep,47.9,Main Warehouse - A-B-3,Main Warehouse,CDCBM - R40256: X - PO-5186,47.86,47.86
R40260: CDCBM,48.99,Material Prep,48.2,Main Warehouse - A-B-3,Main Warehouse,CDCBM - R40260: X - PO-5186,48.15,48.15
R40268: CDCBM,46.47,Material Prep,46.1,Main Warehouse - A-B-3,Main Warehouse,CDCBM - R40268: X - PO-5186,46.08,46.08
R40277: CDCBM,49.22,Material Prep,49.4,Main Warehouse - A-B-3,Main Warehouse,CDCBM - R40277: X - PO-5186,49.39,49.39
R40279: CDCBM,48.00,Material Prep,49.0,Main Warehouse - A-B-3,Main Warehouse,CDCBM - R40279: X - PO-5186,49,49
R40282: CDCBM,47.10,Material Prep,47.5,Main Warehouse - A-B-3,Main Warehouse,CDCBM - R40282: X - PO-5186,47.5,47.5
R40283: CDCBM,50.74,Material Prep,49.6,Main Warehouse - A-B-3,Main Warehouse,CDCBM - R40283: X - PO-5186,49.62,49.62
R40288: CDCBM,48.11,Material Prep,47.0,Main Warehouse - A-B-3,Main Warehouse,CDCBM - R40288: X - PO-5186,47,47
R40290: CDCBM,46.36,Material Prep,45.3,Main Warehouse - A-B-3,Main Warehouse,CDCBM - R40290: X - PO-5186,45.25,45.25
R40292: CDCBM,51.72,Material Prep,52.0,Main Warehouse - A-B-3,Main Warehouse,CDCBM - R40292: X - PO-5186,52.02,52.02
R40294: CDCBM,50.74,Material Prep,53.1,Main Warehouse - A-I-3,Main Warehouse,"CDCBM - R40294: X - PO-5186,CDCBM - R40294: X - PO-5186","53.11,49.74",49.74
R40297: CDCBM,47.89,Material Prep,50.6,Main Warehouse - A-I-3,Main Warehouse,"CDCBM - R40297: X - PO-5186,CDCBM - R40297: X - PO-5186","50.57,46.14",46.14
R40307: CDCBM,49.64,Material Prep,49.0,Main Warehouse - A-B-3,Main Warehouse,CDCBM - R40307: X - PO-5186,48.97,48.97
R40310: CDCBM,46.40,Material Prep,46.6,Main Warehouse - A-B-3,Main Warehouse,CDCBM - R40310: X - PO-5186,46.64,46.64
R40309: CDCBM,48.44,Material Prep,48.9,Main Warehouse - A-B-3,Main Warehouse,CDCBM - R40309: X - PO-5186,48.86,48.86
R40313: CDCBM,51.28,Material Prep,53.1,Main Warehouse - A-I-3,Main Warehouse,"CDCBM - R40313: X - PO-5186,CDCBM - R40313: X - PO-5186","53.11,50.45",50.45
R40318: CDCBM,50.85,Material Prep,52.2,Main Warehouse - A-B-3,Main Warehouse,CDCBM - R40318: X - PO-5186,52.22,52.22
R40316: CDCBM,50.96,Material Prep,52.2,Main Warehouse - A-B-3,Main Warehouse,CDCBM - R40316: X - PO-5186,52.2,52.2
R40320: CDCBM,48.00,Material Prep,48.2,Main Warehouse - A-B-3,Main Warehouse,CDCBM - R40320: X - PO-5186,48.17,48.17
R40324: CDCBM,44.29,Material Prep,44.8,Main Warehouse - A-I-3,Main Warehouse,CDCBM - R40324: X - PO-5186,44.81,44.81
R40327: CDCBM,52.49,Material Prep,52.7,Main Warehouse - A-I-3,Main Warehouse,CDCBM - R40327: X - PO-5186,52.66,52.66
R40329: CDCBM,51.39,Material Prep,52.3,Main Warehouse - A-I-3,Main Warehouse,CDCBM - R40329: X - PO-5186,52.25,52.25
R40337: CDCBM,51.83,Material Prep,52.3,Main Warehouse - A-I-3,Main Warehouse,CDCBM - R40337: X - PO-5186,52.31,52.31
R40341: CDCBM,43.74,Material Prep,45.4,Main Warehouse - A-I-3,Main Warehouse,CDCBM - R40341: X - PO-5186,45.38,45.38
